cluster_id	protein name	centroid genome	centroid locus	role_ids	frameshift	E00001	E00002	E00003	E00004	E00005	E00031	E00032	E00033	E00034	E00035
27	hypothetical protein	E00001	LI62_RS00135			LI62_RS00135		LI64_RS22520		LI66_RS24220					
28	membrane protein	E00001	LI62_RS00140			LI62_RS00140		LI64_RS22515		LI66_RS24215					
29	resolvase	E00001	LI62_RS00145			LI62_RS00145		LI64_RS22510		LI66_RS24210					
30	antirestriction protein	E00001	LI62_RS00150			LI62_RS00150		LI64_RS22505		LI66_RS24205					
31	ATPase	E00001	LI62_RS00155			LI62_RS00155		LI64_RS22500		LI66_RS24200					
32	chaperonin	E00001	LI62_RS00160			LI62_RS00160		LI64_RS22495		LI66_RS24195					
33	hypothetical protein	E00001	LI62_RS00165			LI62_RS00165		LI64_RS22490							
34	hypothetical protein	E00001	LI62_RS00170			LI62_RS00170		LI64_RS22485							
35	hypothetical protein	E00001	LI62_RS00175			LI62_RS00175		LI64_RS22480		LI66_RS24370					
36	RepA	E00001	LI62_RS00180			LI62_RS00180		LI64_RS22475		LI66_RS24365		SR75_RS21845		SR68_RS19140	SR69_RS17890
37	hypothetical protein	E00001	LI62_RS00185			LI62_RS00185		LI64_RS22470		LI66_RS24360					
38	hypothetical protein	E00001	LI62_RS00190			LI62_RS00190		LI64_RS22465		LI66_RS24355					
39	hypothetical protein	E00001	LI62_RS00195			LI62_RS00195		LI64_RS22460		LI66_RS24350					
40	single-stranded DNA-binding protein	E00001	LI62_RS00200			LI62_RS00200		LI64_RS22455		LI66_RS24345					
41	class A broad-spectrum beta-lactamase TEM-1	E00001	LI62_RS00205			LI62_RS00205	LI63_RS00360	LI64_RS22450	LI65_RS25040	LI66_RS24190		SR75_RS22055	SR76_RS05880	SR68_RS19700	SR69_RS18445
42	transposon Tn3 resolvase	E00001	LI62_RS00210			LI62_RS00210	LI63_RS00335	LI64_RS22445		LI66_RS24185		SR75_RS22030	SR76_RS05885	SR68_RS19675	SR69_RS18420
43	transposase	E00001	LI62_RS00215			LI62_RS00215	LI63_RS00330	LI64_RS22440	LI65_RS25050	LI66_RS24180		SR75_RS22025	SR76_RS05890	SR68_RS19670	SR69_RS18415
44	integrase	E00001	LI62_RS00220			LI62_RS00220	LI63_RS00325	LI64_RS22435	LI65_RS24480	LI66_RS24175		SR75_RS22020		SR68_RS19665	SR69_RS18410
45	transposase	E00001	LI62_RS00225			LI62_RS00225	LI63_RS00320	LI64_RS22430	LI65_RS24485	LI66_RS24170		SR75_RS22015		SR68_RS19660	SR69_RS18405
46	tc3 transposase family protein	E00001	LI62_RS00230			LI62_RS00230	LI63_RS00315	LI64_RS22425		LI66_RS24165		SR75_RS22010		SR68_RS19655	SR69_RS18400
47	transposase	E00001	LI62_RS00235			LI62_RS00235	LI63_RS00310	LI64_RS22420	LI65_RS24530	LI66_RS24390		SR75_RS22005		SR68_RS19650	SR69_RS18395
48	hypothetical protein	E00001	LI62_RS00240			LI62_RS00240		LI64_RS22415	LI65_RS24535						
49	carbapenem-hydrolyzing class A beta-lactamase KPC-3	E00002	LI63_RS00300			LI62_RS00245	LI63_RS00300	LI64_RS22410	LI65_RS24540	LI66_RS24385		SR75_RS22000		SR68_RS19640	SR69_RS18385
50	hypothetical protein	E00001	LI62_RS00255			LI62_RS00255									
51	replication initiation protein	E00001	LI62_RS00260			LI62_RS00260									
52	mobilization protein	E00001	LI62_RS00265			LI62_RS00265							SR76_RS16300		
53	DNA polymerase	E00001	LI62_RS00270			LI62_RS00270									
54	hypothetical protein	E00001	LI62_RS00275			LI62_RS00275									
55	hypothetical protein	E00001	LI62_RS00280			LI62_RS00280									
56	chromosomal replication initiator protein DnaA	E00001	LI62_RS00285			LI62_RS00285	LI63_RS23940	LI64_RS00005	LI65_RS02315	LI66_RS00005	SR65_RS05820	SR75_RS14360	SR76_RS17605	SR68_RS10060	SR69_RS11050
57	DNA polymerase III subunit beta	E00002	LI63_RS23935			LI62_RS00290	LI63_RS23935	LI64_RS00010	LI65_RS02310	LI66_RS00010	SR65_RS05825	SR75_RS14355	SR76_RS17600	SR68_RS10055	SR69_RS11045
58	recombinase F	E00002	LI63_RS23930			LI62_RS00295	LI63_RS23930	LI64_RS00015	LI65_RS02305	LI66_RS00015	SR65_RS05830	SR75_RS14350	SR76_RS17595	SR68_RS10050	SR69_RS11040
59	DNA gyrase subunit B	E00001	LI62_RS00300			LI62_RS00300	LI63_RS23925	LI64_RS00020	LI65_RS02300	LI66_RS00020	SR65_RS05835	SR75_RS14345	SR76_RS17590	SR68_RS10045	SR69_RS11035
60	LysR family transcriptional regulator	E00002	LI63_RS23920			LI62_RS00305	LI63_RS23920		LI65_RS02295	LI66_RS00025	SR65_RS05840	SR75_RS14340	SR76_RS17585	SR68_RS10040	SR69_RS11030
61	alcohol dehydrogenase	E00002	LI63_RS23915			LI62_RS00310	LI63_RS23915		LI65_RS02290	LI66_RS00030	SR65_RS05845	SR75_RS14335	SR76_RS17580	SR68_RS10035	SR69_RS11025
62	phosphatase YidA	E00001	LI62_RS00315			LI62_RS00315	LI63_RS23910	LI64_RS00055	LI65_RS02285	LI66_RS00035	SR65_RS05850	SR75_RS14330	SR76_RS17575	SR68_RS10030	SR69_RS11020
63	GntR family transcriptional regulator	E00001	LI62_RS00320			LI62_RS00320	LI63_RS23905	LI64_RS00060	LI65_RS02280	LI66_RS00040		SR75_RS14325	SR76_RS17570	SR68_RS10025	SR69_RS11015
64	2-oxo-3-deoxygalactonate kinase	E00001	LI62_RS00325			LI62_RS00325	LI63_RS23900	LI64_RS00065	LI65_RS02275	LI66_RS00045		SR75_RS14320	SR76_RS17565	SR68_RS10020	SR69_RS11010
65	2-dehydro-3-deoxy-6-phosphogalactonate aldolase	E00002	LI63_RS23895			LI62_RS00330	LI63_RS23895	LI64_RS00070	LI65_RS02270	LI66_RS00050		SR75_RS14315	SR76_RS17560	SR68_RS10015	SR69_RS11005
66	galactonate dehydratase	E00002	LI63_RS23890			LI62_RS00335	LI63_RS23890	LI64_RS00075	LI65_RS02265	LI66_RS00055		SR75_RS14310	SR76_RS17555	SR68_RS10010	SR69_RS11000
67	D-galactonate transporter	E00002	LI63_RS23885			LI62_RS00340	LI63_RS23885	LI64_RS00080	LI65_RS02260	LI66_RS00060		SR75_RS14305	SR76_RS17550	SR68_RS10005	SR69_RS10995
68	hypothetical protein	E00002	LI63_RS23880			LI62_RS00345	LI63_RS23880	LI64_RS00085	LI65_RS02255	LI66_RS00065	SR65_RS05855	SR75_RS14300	SR76_RS17545	SR68_RS10000	SR69_RS10990
69	hypothetical protein	E00002	LI63_RS23875			LI62_RS00350	LI63_RS23875	LI64_RS00090	LI65_RS02250	LI66_RS00070	SR65_RS05860	SR75_RS14295	SR76_RS17540	SR68_RS09995	SR69_RS10985
70	heat shock protein IbpA	E00001	LI62_RS00355			LI62_RS00355	LI63_RS23870	LI64_RS00095	LI65_RS02245	LI66_RS00075	SR65_RS05865	SR75_RS14290	SR76_RS17535	SR68_RS09990	SR69_RS10980
71	heat shock chaperone IbpB	E00002	LI63_RS23865			LI62_RS00360	LI63_RS23865	LI64_RS00100	LI65_RS02240	LI66_RS00080	SR65_RS05870	SR75_RS14285	SR76_RS17530	SR68_RS09985	SR69_RS10975
72	transporter	E00002	LI63_RS23860			LI62_RS00365	LI63_RS23860	LI64_RS00105	LI65_RS02235	LI66_RS00085	SR65_RS05875	SR75_RS14280	SR76_RS17525	SR68_RS09980	SR69_RS10970
73	GntR family transcriptional regulator	E00002	LI63_RS23855			LI62_RS00370	LI63_RS23855	LI64_RS00130	LI65_RS02230	LI66_RS00090	SR65_RS05880	SR75_RS14275	SR76_RS17500	SR68_RS09975	SR69_RS10965
74	PTS family protein IIC	E00002	LI63_RS23850			LI62_RS00375	LI63_RS23850	LI64_RS00135	LI65_RS02225	LI66_RS00095	SR65_RS05885	SR75_RS14270	SR76_RS17495	SR68_RS09970	SR69_RS10960
75	6-phospho-alpha-glucosidase	E00005	LI66_RS00100			LI62_RS00380	LI63_RS23845	LI64_RS00140	LI65_RS02220	LI66_RS00100	SR65_RS05890	SR75_RS14265	SR76_RS17490	SR68_RS09965	SR69_RS10955
76	membrane protein	E00001	LI62_RS00385			LI62_RS00385	LI63_RS23840	LI64_RS00145	LI65_RS02200	LI66_RS00105	SR65_RS05895	SR75_RS14260	SR76_RS17470	SR68_RS09960	SR69_RS10950
77	inner membrane protein yidG	E00002	LI63_RS23835			LI62_RS00390	LI63_RS23835	LI64_RS00150	LI65_RS02195	LI66_RS00110	SR65_RS05900	SR75_RS14255	SR76_RS17465	SR68_RS09955	SR69_RS10945
78	d-serine dehydratase	E00005	LI66_RS00115			LI62_RS00395	LI63_RS23830	LI64_RS00160	LI65_RS02185	LI66_RS00115	SR65_RS05905	SR75_RS14250	SR76_RS17455	SR68_RS09950	SR69_RS10940
79	permease	E00002	LI63_RS23825			LI62_RS00400	LI63_RS23825		LI65_RS02180	LI66_RS00120	SR65_RS05910	SR75_RS14245	SR76_RS17450	SR68_RS09945	SR69_RS10935
80	transcriptional regulator	E00002	LI63_RS23820			LI62_RS00405	LI63_RS23820		LI65_RS02175	LI66_RS00125	SR65_RS05915	SR75_RS14240	SR76_RS17445	SR68_RS09940	SR69_RS10930
81	multidrug resistance protein D	E00003	LI64_RS00175			LI62_RS00410	LI63_RS23815	LI64_RS00175	LI65_RS02170	LI66_RS00130	SR65_RS05925	SR75_RS14235	SR76_RS17440	SR68_RS09935	SR69_RS10925
82	EamA-like transporter family.	E00004	LI65_RS02165			LI62_RS00415	LI63_RS23810	LI64_RS00180	LI65_RS02165	LI66_RS00135	SR65_RS05930	SR75_RS14230	SR76_RS17435	SR68_RS09930	SR69_RS10920
83	N-acetyltransferase GCN5	E00002	LI63_RS23805			LI62_RS00420	LI63_RS23805	LI64_RS00185	LI65_RS02160	LI66_RS00140	SR65_RS05935	SR75_RS14225	SR76_RS17430	SR68_RS09925	SR69_RS10915
84	hypothetical protein	E00002	LI63_RS23800			LI62_RS00425	LI63_RS23800	LI64_RS00190	LI65_RS02155	LI66_RS00145	SR65_RS05940	SR75_RS14220	SR76_RS17425	SR68_RS09920	SR69_RS10910
85	toxin RelE	E00001	LI62_RS00430			LI62_RS00430									
86	putative transcription regulator containing HTH domain	E00001	LI62_RS00435			LI62_RS00435		LI64_RS00195							
87	acetolactate synthase	E00002	LI63_RS23780			LI62_RS00440	LI63_RS23780	LI64_RS00200	LI65_RS02135	LI66_RS00165	SR65_RS05945	SR75_RS14200	SR76_RS17405	SR68_RS09900	SR69_RS10890
88	acetolactate synthase 1 regulatory subunit	E00002	LI63_RS23775			LI62_RS00445	LI63_RS23775	LI64_RS00205	LI65_RS02130	LI66_RS00170	SR65_RS05950	SR75_RS14195	SR76_RS17400	SR68_RS09895	SR69_RS10885
89	transcriptional regulator	E00001	LI62_RS00450			LI62_RS00450	LI63_RS23770	LI64_RS00210	LI65_RS02125	LI66_RS00175	SR65_RS05955	SR75_RS14190	SR76_RS17395	SR68_RS09890	SR69_RS10880
90	sensory histidine kinase	E00005	LI66_RS00180			LI62_RS00455	LI63_RS23765	LI64_RS00215	LI65_RS02120	LI66_RS00180	SR65_RS05960	SR75_RS14185	SR76_RS17390	SR68_RS09885	SR69_RS10875
91	hypothetical protein	E00002	LI63_RS23760			LI62_RS00460	LI63_RS23760	LI64_RS00220	LI65_RS02115	LI66_RS00185	SR65_RS05965	SR75_RS14180	SR76_RS17385	SR68_RS09880	SR69_RS10870
92	antiporter	E00002	LI63_RS23755			LI62_RS00465	LI63_RS23755	LI64_RS00225	LI65_RS02110	LI66_RS00190	SR65_RS05970	SR75_RS14175	SR76_RS17380	SR68_RS09875	SR69_RS10865
93	alpha/beta hydrolase	E00002	LI63_RS23750			LI62_RS00470	LI63_RS23750	LI64_RS00230	LI65_RS02105	LI66_RS00195		SR75_RS14170	SR76_RS17375	SR68_RS09870	SR69_RS10860
94	transcriptional regulator	E00002	LI63_RS23745			LI62_RS00475	LI63_RS23745		LI65_RS02100	LI66_RS00200		SR75_RS14165	SR76_RS17370	SR68_RS09865	SR69_RS10855
95	hypothetical protein	E00002	LI63_RS23740			LI62_RS00480	LI63_RS23740	LI64_RS00235	LI65_RS02095	LI66_RS00205	SR65_RS05975	SR75_RS14160	SR76_RS17365	SR68_RS09860	SR69_RS10850
96	polyketide cyclase	E00002	LI63_RS23735			LI62_RS00485	LI63_RS23735		LI65_RS02090	LI66_RS00210		SR75_RS14155	SR76_RS17360	SR68_RS09855	SR69_RS10845
97	hypothetical protein	E00001	LI62_RS00490			LI62_RS00490		LI64_RS18960					SR76_RS16290		
98	Arabinose efflux permease	E00001	LI62_RS00495			LI62_RS00495	LI63_RS23730	LI64_RS00275	LI65_RS02085	LI66_RS00215	SR65_RS05980	SR75_RS14150	SR76_RS17355	SR68_RS09850	SR69_RS10840
99	carboxylate/amino acid/amine transporter	E00002	LI63_RS23725			LI62_RS00500	LI63_RS23725	LI64_RS00280	LI65_RS02080	LI66_RS00220	SR65_RS05985	SR75_RS14145	SR76_RS17350	SR68_RS09845	SR69_RS10835
100	maltoporin	E00002	LI63_RS23720			LI62_RS00505	LI63_RS23720	LI64_RS00285	LI65_RS02075	LI66_RS00225	SR65_RS05990	SR75_RS14140	SR76_RS17345	SR68_RS09840	SR69_RS10830
101	PTS system lactose/cellobiose-specific transporter subunit IIA	E00001	LI62_RS00510			LI62_RS00510	LI63_RS23715	LI64_RS00290	LI65_RS02070	LI66_RS00230	SR65_RS05995	SR75_RS14135	SR76_RS17340	SR68_RS09835	SR69_RS10825
102	beta-glucosidase	E00005	LI66_RS00235			LI62_RS00515	LI63_RS23710	LI64_RS00295	LI65_RS02065	LI66_RS00235	SR65_RS06000	SR75_RS14130	SR76_RS17335	SR68_RS09830	SR69_RS10820
103	"PTS system, cellobiose-specific IIC component"	E00002	LI63_RS23705			LI62_RS00520	LI63_RS23705	LI64_RS00300	LI65_RS02060	LI66_RS00240	SR65_RS06005	SR75_RS14125	SR76_RS17330	SR68_RS09825	SR69_RS10815
104	PTS lactose transporter subunit IIB	E00002	LI63_RS23700			LI62_RS00525	LI63_RS23700	LI64_RS00305	LI65_RS02055	LI66_RS00245	SR65_RS06010	SR75_RS14120	SR76_RS17325	SR68_RS09820	SR69_RS10810
105	LacI family transcriptional regulator	E00002	LI63_RS23695			LI62_RS00530	LI63_RS23695	LI64_RS00310	LI65_RS02050	LI66_RS00250	SR65_RS06015	SR75_RS14115	SR76_RS17320	SR68_RS09815	SR69_RS10805
106	hypothetical protein	E00001	LI62_RS00535			LI62_RS00535	LI63_RS23690	LI64_RS00315	LI65_RS02045	LI66_RS00255	SR65_RS06020	SR75_RS14110	SR76_RS17315	SR68_RS09810	SR69_RS10800
107	Bcr/CflA family drug resistance efflux transporter	E00002	LI63_RS23685			LI62_RS00540	LI63_RS23685		LI65_RS02040	LI66_RS00260		SR75_RS14105	SR76_RS17310	SR68_RS09805	SR69_RS10795
108	multidrug transporter	E00002	LI63_RS23680			LI62_RS00545	LI63_RS23680		LI65_RS02035	LI66_RS00265		SR75_RS14100	SR76_RS17305	SR68_RS09800	SR69_RS10790
109	multidrug efflux RND transporter permease subunit	E00002	LI63_RS23675			LI62_RS00550	LI63_RS23675		LI65_RS02030	LI66_RS00270		SR75_RS14095	SR76_RS17300	SR68_RS09795	SR69_RS10785
110	multidrug efflux periplasmic linker protein EefA	E00002	LI63_RS23670			LI62_RS00555	LI63_RS23670		LI65_RS02025	LI66_RS00275		SR75_RS14090	SR76_RS17295	SR68_RS09790	SR69_RS10780
111	TetR family transcriptional regulator	E00001	LI62_RS00560			LI62_RS00560	LI63_RS23665		LI65_RS02020	LI66_RS00280		SR75_RS14085	SR76_RS17290	SR68_RS09785	SR69_RS10775
112	N-acetyltransferase GCN5	E00002	LI63_RS23660			LI62_RS00565	LI63_RS23660	LI64_RS00320	LI65_RS02015	LI66_RS00285	SR65_RS06025	SR75_RS14080	SR76_RS17285	SR68_RS09780	SR69_RS10770
113	TetR family transcriptional regulator	E00002	LI63_RS23655			LI62_RS00570	LI63_RS23655	LI64_RS00325	LI65_RS02010	LI66_RS00290		SR75_RS14075	SR76_RS17280	SR68_RS09775	SR69_RS10765
114	DSBA oxidoreductase	E00002	LI63_RS23650			LI62_RS00575	LI63_RS23650	LI64_RS00330	LI65_RS02005	LI66_RS00295		SR75_RS14070	SR76_RS17275	SR68_RS09770	SR69_RS10760
115	membrane protein	E00002	LI63_RS23645			LI62_RS00580	LI63_RS23645	LI64_RS00350	LI65_RS02000	LI66_RS00300		SR75_RS14065	SR76_RS17270	SR68_RS09765	SR69_RS10755
116	EAL domain protein	E00002	LI63_RS23640			LI62_RS00585	LI63_RS23640	LI64_RS00355	LI65_RS01995	LI66_RS00305		SR75_RS14060	SR76_RS17265	SR68_RS09760	SR69_RS10750
117	Response regulator containing a CheY-like receiver domain and an HTH DNA-binding domain	E00002	LI63_RS23635			LI62_RS00590	LI63_RS23635	LI64_RS00360	LI65_RS01990	LI66_RS00310		SR75_RS14055	SR76_RS17260	SR68_RS09755	SR69_RS10745
118	LuxR family transcriptional regulator	E00002	LI63_RS23630			LI62_RS00595	LI63_RS23630	LI64_RS00365	LI65_RS01985	LI66_RS00315		SR75_RS14050	SR76_RS17255	SR68_RS09750	SR69_RS10740
119	hypothetical protein	E00002	LI63_RS23625			LI62_RS00600	LI63_RS23625	LI64_RS00370	LI65_RS01980	LI66_RS00320		SR75_RS14045	SR76_RS17250	SR68_RS09745	SR69_RS10735
120	usher protein FimD	E00002	LI63_RS23620			LI62_RS00605	LI63_RS23620		LI65_RS01975	LI66_RS00325		SR75_RS14040		SR68_RS09740	SR69_RS10730
121	pilus assembly protein	E00002	LI63_RS23615			LI62_RS00610	LI63_RS23615	LI64_RS00380	LI65_RS01970	LI66_RS00330		SR75_RS14035	SR76_RS17240	SR68_RS09735	SR69_RS10725
122	fimbrial protein	E00002	LI63_RS23610			LI62_RS00615	LI63_RS23610	LI64_RS00385	LI65_RS01965	LI66_RS00335		SR75_RS14030	SR76_RS17235	SR68_RS09730	SR69_RS10720
123	transcriptional regulator	E00002	LI63_RS23605			LI62_RS00620	LI63_RS23605	LI64_RS00390	LI65_RS01960	LI66_RS00340		SR75_RS14025	SR76_RS17230	SR68_RS09725	SR69_RS10715
124	hypothetical protein	E00001	LI62_RS00625			LI62_RS00625	LI63_RS23600	LI64_RS00395	LI65_RS01955	LI66_RS00345		SR75_RS14020	SR76_RS17225	SR68_RS09720	SR69_RS10710
125	hypothetical protein	E00001	LI62_RS00630			LI62_RS00630	LI63_RS23595	LI64_RS00400	LI65_RS01950	LI66_RS00350		SR75_RS14015	SR76_RS17220	SR68_RS09715	SR69_RS10705
126	hypothetical protein	E00002	LI63_RS23590			LI62_RS00635	LI63_RS23590	LI64_RS00405	LI65_RS01945	LI66_RS00355		SR75_RS14010	SR76_RS17215	SR68_RS09710	SR69_RS10700
127	hypothetical protein	E00002	LI63_RS23585			LI62_RS00640	LI63_RS23585	LI64_RS00410	LI65_RS01940	LI66_RS00360		SR75_RS14005	SR76_RS17210	SR68_RS09705	SR69_RS10695
128	hypothetical protein	E00002	LI63_RS23580			LI62_RS00645	LI63_RS23580	LI64_RS00415	LI65_RS01935	LI66_RS00365		SR75_RS14000	SR76_RS17205	SR68_RS09700	SR69_RS10690
129	hypothetical protein	E00001	LI62_RS00650			LI62_RS00650	LI63_RS23575	LI64_RS00420	LI65_RS01930	LI66_RS00370		SR75_RS13995	SR76_RS17200	SR68_RS09695	SR69_RS10685
130	hypothetical protein	E00002	LI63_RS23570			LI62_RS00655	LI63_RS23570	LI64_RS00425	LI65_RS01925	LI66_RS00375		SR75_RS13990	SR76_RS17195	SR68_RS09690	SR69_RS10680
131	hypothetical protein	E00001	LI62_RS00660			LI62_RS00660	LI63_RS23565	LI64_RS00430	LI65_RS01920	LI66_RS00380		SR75_RS13985	SR76_RS17190	SR68_RS09685	SR69_RS10675
132	hypothetical protein	E00004	LI65_RS01915			LI62_RS00665	LI63_RS23560	LI64_RS00435	LI65_RS01915	LI66_RS00385		SR75_RS13980		SR68_RS09680	SR69_RS10670
133	hypothetical protein	E00002	LI63_RS23555			LI62_RS00670	LI63_RS23555	LI64_RS00440	LI65_RS01910	LI66_RS00390		SR75_RS13975	SR76_RS17180	SR68_RS09675	SR69_RS10665
134	membrane fusion protein RaxA	E00002	LI63_RS23550			LI62_RS00675	LI63_RS23550	LI64_RS00445	LI65_RS01905	LI66_RS00395		SR75_RS13970	SR76_RS17175	SR68_RS09670	SR69_RS10660
135	beta-lactamase-like protein	E00005	LI66_RS00400			LI62_RS00680	LI63_RS23545	LI64_RS00450	LI65_RS01900	LI66_RS00400		SR75_RS13965		SR68_RS09665	SR69_RS10655
136	transcriptional regulator	E00005	LI66_RS00405			LI62_RS00685	LI63_RS23540	LI64_RS00455	LI65_RS01895	LI66_RS00405		SR75_RS13960		SR68_RS09660	SR69_RS10650
137	hypothetical protein	E00002	LI63_RS23525			LI62_RS00690	LI63_RS23525	LI64_RS00460	LI65_RS01890	LI66_RS00420	SR65_RS06100	SR75_RS13945	SR76_RS17145	SR68_RS09645	SR69_RS10635
138	hypothetical protein	E00005	LI66_RS00425			LI62_RS00695	LI63_RS23520	LI64_RS00465	LI65_RS01885	LI66_RS00425	SR65_RS06105	SR75_RS13940	SR76_RS17140	SR68_RS09640	SR69_RS10630
139	hydroxyisourate hydrolase	E00001	LI62_RS00700			LI62_RS00700	LI63_RS23515	LI64_RS00470	LI65_RS01880	LI66_RS00430	SR65_RS06110	SR75_RS13935	SR76_RS17135	SR68_RS09635	SR69_RS10625
140	MerR family transcriptional regulator	E00002	LI63_RS23510			LI62_RS00705	LI63_RS23510	LI64_RS00475	LI65_RS01875	LI66_RS00435	SR65_RS06115	SR75_RS13930	SR76_RS17130	SR68_RS09630	SR69_RS10620
141	membrane protein	E00002	LI63_RS23505			LI62_RS00710	LI63_RS23505	LI64_RS00480	LI65_RS01870	LI66_RS00440	SR65_RS06120	SR75_RS13925	SR76_RS17125	SR68_RS09625	SR69_RS10615
142	oxidoreductase	E00002	LI63_RS23500			LI62_RS00715	LI63_RS23500	LI64_RS00485	LI65_RS01865	LI66_RS00445		SR75_RS13920	SR76_RS17120	SR68_RS09620	SR69_RS10610
143	"P pilus assembly protein, pilin FimA"	E00002	LI63_RS23495			LI62_RS00720	LI63_RS23495	LI64_RS00490	LI65_RS01860	LI66_RS00450		SR75_RS13915	SR76_RS17115	SR68_RS09615	SR69_RS10605
144	pilus assembly protein PapC	E00002	LI63_RS23490			LI62_RS00725	LI63_RS23490	LI64_RS00495	LI65_RS01855	LI66_RS00455		SR75_RS13910	SR76_RS17110	SR68_RS09610	SR69_RS10600
145	"P pilus assembly protein, chaperone PapD"	E00002	LI63_RS23485			LI62_RS00730	LI63_RS23485	LI64_RS00500	LI65_RS01850	LI66_RS00460		SR75_RS13905	SR76_RS17105	SR68_RS09605	SR69_RS10595
146	fimbrial protein FimI	E00002	LI63_RS23480			LI62_RS00735	LI63_RS23480	LI64_RS00505	LI65_RS01845	LI66_RS00465		SR75_RS13900	SR76_RS17100	SR68_RS09600	SR69_RS10590
147	fimbrial protein	E00002	LI63_RS23475			LI62_RS00740	LI63_RS23475	LI64_RS00510	LI65_RS01840	LI66_RS00470		SR75_RS13895	SR76_RS17095	SR68_RS09595	SR69_RS10585
148	transcriptional regulator	E00002	LI63_RS23470			LI62_RS00745	LI63_RS23470		LI65_RS01835	LI66_RS00475		SR75_RS13890	SR76_RS17090	SR68_RS09590	SR69_RS10580
149	hypothetical protein	E00002	LI63_RS23465			LI62_RS00750	LI63_RS23465		LI65_RS01830	LI66_RS00480		SR75_RS13885	SR76_RS17085	SR68_RS09585	SR69_RS10575
150	AraC family transcriptional regulator	E00002	LI63_RS23460			LI62_RS00755	LI63_RS23460		LI65_RS01825	LI66_RS00485		SR75_RS13880	SR76_RS17080	SR68_RS09580	SR69_RS10570
151	GCN5 family N-acetyltransferase	E00002	LI63_RS23455			LI62_RS00760	LI63_RS23455		LI65_RS01820			SR75_RS13875	SR76_RS17075	SR68_RS09575	SR69_RS10565
152	2-hydroxyacid dehydrogenase	E00001	LI62_RS00765			LI62_RS00765									
153	hypothetical protein	E00004	LI65_RS01795			LI62_RS00770	LI63_RS23435		LI65_RS01795	LI66_RS00495	SR65_RS06145	SR75_RS13855	SR76_RS17055	SR68_RS09555	SR69_RS10545
154	hypothetical protein	E00001	LI62_RS00775			LI62_RS00775									
155	hypothetical protein	E00001	LI62_RS00780			LI62_RS00780									
156	hypothetical protein	E00001	LI62_RS00785			LI62_RS00785									
157	toxin	E00001	LI62_RS00790			LI62_RS00790									
158	Mu phage lytic protein YfjZ	E00001	LI62_RS00795			LI62_RS00795									
